[2023-12-01T02:16:34.712695+00:00] name.INFO: drd [] []
[2023-12-01T02:19:20.201775+00:00] log.INFO: test [] []
[2023-12-01T02:19:38.388030+00:00] log.INFO: test [] []
[2023-12-28T04:13:55.188159+00:00] log.INFO: User Logged in Successfully! {"user_id":27,"IP_Address":"192.168.16.1"} []
[2023-12-28T04:26:52.299586+00:00] log.INFO: User Logged in Successfully! {"user_id":27,"IP_Address":"192.168.16.1"} []
[2023-12-28T04:27:05.830831+00:00] log.INFO: User Logged in Successfully! {"user_id":26,"IP_Address":"192.168.16.1"} []
[2023-12-30T15:23:19.767042+00:00] log.INFO: Failed login attempt from a user. {"IP_Address":"192.168.16.1"} []
[2023-12-30T15:23:28.794315+00:00] log.INFO: Failed login attempt from a user. {"IP_Address":"192.168.16.1"} []
[2023-12-30T15:23:33.084905+00:00] log.INFO: Failed login attempt from a user. {"IP_Address":"192.168.16.1"} []
[2023-12-30T15:24:53.171755+00:00] log.INFO: User Logged in Successfully! {"user_id":27,"IP_Address":"192.168.16.1"} []
[2023-12-30T16:13:03.609919+00:00] log.INFO: User Logged in Successfully! {"user_id":27,"IP_Address":"192.168.16.1"} []
[2023-12-30T16:13:55.418575+00:00] log.INFO: User Logged in Successfully! {"user_id":27,"IP_Address":"192.168.16.1"} []
[2023-12-31T14:11:17.734568+00:00] log.INFO: User Logged in Successfully! {"user_id":27,"IP_Address":"192.168.16.1"} []
[2023-12-31T14:12:45.001763+00:00] log.INFO: User Logged in Successfully! {"user_id":27,"IP_Address":"172.19.0.1"} []
[2024-01-01T03:32:34.769540+00:00] log.INFO: User Logged in Successfully! {"user_id":27,"IP_Address":"172.19.0.1"} []
